ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_S_D,p_H_N,p_N_Los
-34.5216114125827,794776.9607708025,692944.9760144093,50000.000000008,16075.523427720293,5255.155328049703,30653.188361368317,26293.735701359125,1609.6598501134924,2695.718363759924,2984.8973420626694,0.0313393364743062,0.0363678073975237,0.0272540473606769
-24.89883904223612,802826.9586637467,677915.3026918853,60000.29398223318,15707.66731670476,6161.735140996213,30878.737027956995,28756.491649083466,1961.122566210847,2459.0856653666947,2926.115258219249,0.0259510034615146,0.0512223555142972,0.0208854815389056
-42.8764330140196,784537.2412913709,694997.0143874736,52882.31198983666,16085.610715953497,4562.082242406839,30513.79438830091,24872.01469843505,1687.1821210092803,2561.0001170529035,2951.848216485413,0.0282600618310107,0.0392083125925561,0.0182296023038549
-34.837627487385305,810158.713541251,723412.7885425107,60335.88825946579,15744.6511352377,4148.924598980879,30109.68381900664,37990.92171947501,1988.0901183194824,2579.914886641392,2985.412384852419,0.021439081946181,0.0419553890608432,0.0203411342834589
-25.623762804120933,776984.7751320769,694269.2756529287,71533.9714016466,16540.600144305954,4218.374841259923,27878.07493539288,40063.57596219423,2329.0077738021814,2407.659364380461,3032.8987367604536,0.0094029958437141,0.0565309101358897,0.019761532281568
-36.11182022432901,806914.8121010985,768018.8934302195,50000.00000000205,15888.706057772502,1776.6005377810168,30808.22626254501,32547.949931522035,1520.9619576738337,2327.698849300705,3082.1463272511305,0.0193291611251848,0.0789455525162567,0.0182197255908321
-26.641588430004397,803196.4459563049,691454.0646917075,53198.52875290947,15832.768530915995,5470.752210982235,30410.57209076705,47969.39631144976,1776.730508112314,2469.87642111859,2981.490575601093,0.0158462526111404,0.0509570592204987,0.0185263767862898
-25.320691463325492,801103.3770238468,681426.868428188,50000.00000240146,15904.94976995851,5872.731508934114,30879.644464900284,24073.384358913667,1573.0771204764612,2604.341285931114,2963.96385047578,0.0318654298818649,0.0377422570334921,0.016135728725718
-28.99601847587978,797216.3217429717,701187.9299341397,59813.354063719096,16048.194990248125,4838.485193526215,30009.11383722072,31679.70564406537,1884.4195086489624,2581.660267360455,2976.437747951326,0.0225865100661686,0.0395746204530598,0.0242536842611002
-28.83321465702319,787594.310939062,682329.5127440626,56768.94703807785,16032.65933657626,5670.778997690942,30735.87508231321,25957.008510677315,1910.6599405111551,2491.182624563812,3041.696752556998,0.0245171524846502,0.0480501392414416,0.0166070782963147
-31.27912523739679,799920.4104779239,692959.9524897479,72833.74439973154,15995.401663229874,5309.610200132587,28922.38479843925,53425.57488161651,2467.8821232830123,2495.1832652983435,3006.22220387157,0.0242410855788164,0.055622659420598,0.0227768195482946
-40.20937960788297,829469.2695192904,694392.413547426,62330.69657103099,15262.452613406576,6515.837870662724,31323.7497586125,26905.07994043545,1930.99628335391,2545.257004652366,2957.796201416842,0.0224692825938754,0.0490249238413689,0.0255168961042144
-31.506402284750973,806212.9452541663,675024.5133275194,50000.000472996406,15727.286227424587,6685.6593320783295,30793.587229455206,32140.379871965648,1646.7298891489163,2275.9866706149105,2972.7387293615743,0.0233341895641408,0.0709397430492044,0.0153002143606535
