ll,T_NDH,T_ND,T_LY,N_A,N_ND,N_Afr,N_Yor,N_Los,N_Nea,N_Den,p_H_N,p_N_Los
-105.11630350057727,852313.3007341146,685922.2180423994,71699.96107265228,15615.293945583971,7496.504943586079,29232.96674992433,36872.880091472805,2452.027355850122,1900.298584796364,3008.47451351224,0.1201591987311445,0.0209179354549395
-79.75654357874673,826735.5562099563,677479.211372046,80637.51765936356,16048.861048560622,7081.426496534504,27734.095085616034,58400.4212339947,2791.611103107693,1998.5753901334665,3011.3697891585584,0.0960781964732528,0.0237017589738802
-100.46554542448396,822858.8638057135,741835.6253028593,50141.82456258188,15809.635755934269,4015.8987336365954,30288.885138916077,37153.833891461225,1499.5037189627683,2141.7666194386584,3074.516307347354,0.0849942244512675,0.0188300767005774
-74.67703022464647,817913.6383390813,742953.8326155182,84478.67200171153,16076.80696075548,3777.6997276081543,27773.746007433376,65207.024553853895,2719.625364310587,2143.9868986924994,3071.92179307894,0.0915896388989632,0.0262329633346844
-49.26515295318735,814828.3672424528,728837.5601408331,65080.08840546336,15895.012624916251,4514.722029844264,28902.616683439923,30436.56837048158,2334.38611483718,2128.6186614729377,2964.0220450657093,0.0864847598428232,0.0171210420546217
-40.43806981058235,840121.9256182767,730151.8877555801,61086.57181235648,15677.249292044926,5013.139212355884,29580.049218227523,27696.48120593465,2083.281511279098,2069.1000512559644,3069.733598466132,0.1087549631496549,0.0178636713647741
-48.80323094982104,865423.9143123971,758291.4624621363,56361.46524739278,15305.370795557092,4776.918099266875,30544.05046828725,40333.09524152901,1732.8437277524788,2037.18815551655,3115.51743787459,0.1151347794005569,0.0260723158262854
-57.02929949711175,824787.6974433966,736509.4916138281,65138.95804916734,15832.716847853764,4635.999934365505,28929.87556562078,44145.57797240753,2192.255723547041,2271.2248520899325,3119.5441381813603,0.062097747444273,0.0265798414541685
-174.8841041074483,876627.0718337131,745689.9155198343,87656.82530543052,15045.492535173713,5782.424075464907,29039.813524728263,57434.91328068242,3039.3849782209663,1963.649454716844,3115.006116029136,0.1038474276067551,0.0151471795454623
-111.08239132364676,829985.3852653726,732724.3920377436,65000.50392486438,16023.486831433844,4827.394462245192,29209.713694277623,38020.54439855586,2199.4209751119865,2059.927036287389,3074.851836105774,0.1090995670221423,0.0294676625135758
-71.64415813226687,825816.8249411066,714499.7892003334,68449.28808427429,15851.492510974484,5172.254468194322,29374.120801410576,32491.928878644543,2278.884339602146,1898.9642114011335,3021.02142214084,0.1343608246982361,0.0214241417501184
-102.5959187872641,822020.9133293496,673929.3418831467,54255.30332773701,15962.21530034419,7403.791139648581,29877.19567614662,25080.655750953178,1735.3018666649573,1897.931622492098,2944.6374262872823,0.1185715746708655,0.0196175688950968
