sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,m_ND
15,-428.12402943207064,792036.4414035546,638995.7149772672,120672.08723452612,61980.00826862283,16028.897487372444,31623.99346129028,9566.701948589794,2696.694748212837,3335.568028967954,241.21688087064857,233.94742883505566,882.6697864985574,0.041595287887988906,6.6330599261291714e-06
16,-450.2110085774442,743644.1187723274,643918.8081695008,118616.26676853733,62903.59390335365,17245.05576810912,28313.41704372554,6297.7130746532885,2720.271765461663,3299.9521292821214,116.4513543787813,371.46391335694403,966.3529024853102,0.036665139593980975,7.103372595924307e-06
17,-422.1279062171247,778088.4022741698,681951.4510718676,127427.97022484816,71014.11900896429,16448.0670478222,29310.41474246016,6585.484547630374,2620.689659786958,3292.1116018198577,463.71970226082465,777.9468086581577,1307.3413800437272,0.031485464504393185,6.986668596599646e-06
18,-327.0484128035024,757398.8904938423,614350.3061300686,129943.9433506659,75942.61195220458,16491.096217446848,30210.72855649478,10428.213594900133,2547.682907218868,3009.217074750577,689.5773879858752,1007.9282749637774,1733.8103424262342,0.038312124519558864,8.242592486783265e-06
19,-395.5033798837785,757055.6256138099,627461.2083196648,121245.4367227916,62143.24385971515,16752.448849076794,30690.659218827237,13375.883770713159,2531.154676479264,2959.25429694109,221.07658917010454,291.4407025989445,1101.3671727244569,0.03060171561398849,9.457795682202132e-06
20,-425.5852010432071,764238.7065474271,665615.7029565076,132469.80107133754,73104.0972209273,16766.84702603448,29585.098497774707,7646.428679312728,2642.770365373821,3106.5955114699323,624.8429146780429,1252.7011403242786,1688.757353858534,0.03596602070757576,8.200172867988458e-06
21,-350.44912525462144,794072.2221740371,660543.2813853141,124732.50322437513,64618.30511314121,16111.872980369319,30464.445177424197,13356.352052304152,2536.6052318463917,3027.168013249038,368.1767242151843,446.3903369368379,1053.1098851659813,0.03602320180434354,9.326558797761093e-06
22,-411.1226409074124,764264.4159622829,656416.6228006976,119771.12120891972,61698.28706274257,16411.354587374684,30235.948203789998,10209.844296376968,2578.381494630618,3084.2782756550387,166.23667401137263,269.9885059600693,829.7322361276837,0.04011815670420212,9.234368986958977e-06
23,-511.07960280815644,798737.5853749448,667743.788434036,120944.95081278199,64368.27841522873,16036.246938664957,30561.51817528654,8839.515532386964,2735.596106317174,3288.607296017236,234.8836523056955,509.6493438299236,1109.8850120703025,0.03375502136425574,7.3121325272323375e-06
24,-437.52311862072315,801361.8582959545,610360.802777376,123648.24553928152,69194.09483823845,16243.047190328582,31661.966598380153,11288.599989905066,2925.4595779542024,3230.8780311373,401.9460667736726,703.9061391091232,1591.5766894178519,0.03289420710761462,6.434675932475501e-06
