ll,T_NDH,T_ND,T_AMH_Alt,p_AMH_Alt,N_Anc,N_Yor,N_ND,N_Den,N_Alt,m_AltDen,model,T_Gho,T_Gho_Den,p_Gho_Den,N_Gho
-37.77727896242649,757690.5240556536,732977.6540678024,433349.908768098,0.1721565129316897,16588.92798414571,26895.17858193126,731.8103139588521,3716.0590402435514,2757.631121641244,4.579596437421335e-06,52,757697.1855357072,732977.6522301552,0.1009739272978567,100.00000395664074
-33.01397660602821,806238.7292332893,761718.3791721686,349107.6516556006,0.1249072218769031,15817.76068454651,28262.6975367567,1417.3837527848025,3603.162265794267,2422.4074410913977,6.133233146485652e-06,53,817106.771369206,761718.3791721672,0.1038170962477037,100.00000016183984
-33.60982156140402,771016.0991998903,702627.6764824115,257079.00462029807,0.0659624898704013,16161.400122144556,27950.84096697431,2410.1338053096056,3523.06173905194,2351.792903225298,5.0060039883975885e-06,54,916490.6264267424,702627.5255476609,0.0992053622996157,99999.99999994977
-31.63328514568827,777197.5418346698,768758.3017774562,306102.4480065646,0.089082031758303,16134.839305798443,27879.15300483535,308.83299709304987,3511.7611464952683,2315.456602244156,7.179370344978303e-06,55,973369.25284005,768758.3017771981,0.0492284920612669,99999.99999452192
-37.74613809973993,802651.6305462077,751366.3327744467,234453.09670647405,0.0529024283061909,15605.800088833306,29046.18503904585,1707.3456492468572,3161.16208879148,1929.0594003122,1.0520568679970252e-05,56,896126.3149643834,751366.287145237,0.1999997685705923,2873.83152020964
-32.56076502241906,754406.6349855765,730825.4937535515,288172.06040549,0.0862877460070417,16486.385889466725,27249.24732303971,763.8950144720704,3512.019877130025,2300.737949313696,6.023736509818117e-06,57,825465.0724648216,730825.4937533841,0.1426426283846267,99999.99999999984
-33.46038916078828,803708.1873811785,762440.636657017,248417.89138651092,0.0669707689495448,15661.02377505951,28837.92874595175,1659.176379503186,3451.613686281982,2086.470610874685,7.716042627516489e-06,58,2913956.274161973,762440.6361018812,0.0051729613479159,99999.99999932892
-42.35670383047085,804482.5928456706,787252.0237390953,505010.6210939005,0.1999999999999893,15858.374012901086,28194.25549979046,498.4870916085956,3785.229590824608,2939.9862089106987,5.379898973735054e-06,59,804630.9242301217,787251.9192533982,0.0611311908486354,100.00000000002278
-32.26201838011029,765648.7605235974,733898.8001784309,307940.7854663796,0.0981520819268979,16349.10966505524,27458.538475364992,1221.969988885436,3472.7956330384663,2267.6878910209653,6.926794423242064e-06,60,1085144.742918332,733897.4239311168,0.0233735847839881,99999.9999980757
-32.78852942720592,771989.9414136896,722519.5110362552,313564.9333105285,0.0996376258217626,16258.245439640204,27614.35896056944,1886.9419924147487,3565.579393998691,2382.0174550334737,5.592724140975436e-06,61,1309378.5548202367,722519.5099850139,0.0125179284519301,99999.99999897151
-32.35084589103188,796396.6053049724,737902.2522550514,339247.6188348096,0.1291446691655241,15991.177281575152,27940.93215470841,2057.057355408106,3354.284559056267,2188.7289269767225,8.246898608061573e-06,62,796396.8255976492,736995.6836580535,0.0813906275375215,99999.99996510187
-33.719798011859965,763690.3187429056,698254.6033048076,279561.4978419584,0.0823665816569646,16335.317989233074,27549.8587162944,2378.4715274907485,3468.338902916058,2281.095591373317,5.69919965135816e-06,63,897631.7931852345,697761.1441902121,0.0792453042215434,99999.9964401584
-32.17067286663168,788801.0910184587,747672.5536192962,309855.4312331348,0.100427846441927,16005.571191170138,28054.212334833785,1531.4839547525462,3477.635477708883,2299.487931367506,6.542735138322891e-06,64,998368.15720406,577235.4383342873,0.0292689478433993,99999.9996215662
-32.73031809727505,805161.0473883568,762791.6805430513,340238.0579663814,0.1282510207027629,15849.737604752285,28195.82981338007,1492.566399785198,3346.1819407736407,2248.449501828334,7.634908787464319e-06,65,805161.0473883911,551952.0529447732,0.0547801268913822,99999.99999601635
-34.83852316200223,782705.5644420219,753947.4761180799,232084.99961613704,0.0450195290040272,15878.959688035682,28606.459928503657,1126.4469805004796,3366.9339750613763,2220.381859020971,8.252291882925712e-06,66,1115790.1081819632,753947.4761180785,0.0603413027574427,99999.99999929302
-34.24099419136422,764637.2774066972,699137.1716685174,343910.1567243383,0.1317521016201509,16480.11915509585,27085.58487804652,2491.6972005224998,3371.2384986500883,2251.057512122254,7.293358568777283e-06,67,764637.2774066986,699137.1716497446,0.0315213339936527,99999.99981750424
